Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.257,0.00,0.00,0.00,0.507,0.235,0.00,0.00,0.00,0.00,5758
Client   1,0.255,0.232,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.512,5805
Client   2,0.00,0.00,0.412,0.00,0.00,0.281,0.307,0.00,0.00,0.00,4821
Client   3,0.00,0.00,0.00,0.410,0.00,0.00,0.198,0.00,0.392,0.00,7472
Client   4,0.00,0.235,0.00,0.00,0.508,0.00,0.257,0.00,0.00,0.00,5749
Client   5,0.00,0.231,0.00,0.00,0.00,0.232,0.00,0.537,0.00,0.00,5836
Client   6,0.00,0.322,0.00,0.00,0.00,0.324,0.354,0.00,0.00,0.00,4182
Client   7,0.224,0.00,0.301,0.00,0.00,0.00,0.00,0.475,0.00,0.00,6599
Client   8,0.00,0.184,0.00,0.418,0.00,0.00,0.00,0.00,0.399,0.00,7338
Client   9,0.230,0.00,0.308,0.00,0.00,0.00,0.00,0.00,0.00,0.462,6440
